SCENE_SaoHoa03-001 — PRESET 1 — EXT — WIDE STATIC HORIZON FRAME — COLD DAWN GLARE — CRATER RIM — Detailed Description (write like a compact cinematic essay): Pale morning sunlight pierces the thin Martian haze, casting long sharp shadows across a fresh structural fracture on a steep forty-five-degree crater rim. A recent micro-meteorite impact has triggered a massive regolith landslide, stripping away centuries of rust-colored dust to expose a glinting edge of wrinkled gold insulation foil buried deep in the frozen ground. The unstable slope remains precarious, under immense tectonic tension. | CONTINUITY: fresh impact scar and exposed gold insulation foil | NEXT: tracking the debris field downward | AUDIO: thin wind scrape, distant rock slide hiss, radio static | VOICE : none
SCENE_SaoHoa03-002 — PRESET 1 — EXT — SLOW LATERAL TRACK — HARD MORNING SPILL — LANDSLIDE ZONE — Detailed Description (write like a compact cinematic essay): The camera tracks slowly across the jagged line of the secondary sessional collapse where loose red sand continuously trickles down into a dark volcanic fissure. The exposed metallic gold foil of the buried debris vibrates weakly under the force of the thin atmosphere, revealing a heavily oxidized steel structural bracket beneath it. No human tracks disturb the pristine, hostile landscape. | CONTINUITY: shifting regolith over buried golden metal structures | NEXT: panning to the deep impact center | AUDIO: gravel trickling down slope, metallic vibration, wind howl | VOICE : none
SCENE_SaoHoa03-003 — PRESET 1 — EXT — DISTANT SILHOUETTE WIDE — LOW EVENING RED-GOLD LOSS LIGHT — SOUTHERN EMISTION ZONE — Detailed Description (write like a compact cinematic essay): A wider perspective captures the immense scale of the ancient impact basin under a darkening crimson sky as frozen carbon dioxide frost begins to crystallize on the upper rocks. Far below the rim, the golden foil glints like a solitary eye amidst the vast expanse of dead red desert sand, marking the location of an unresolved thermal anomaly. The environment is entirely static. | CONTINUITY: scale of the crater rim landslide and thermal anomaly site | NEXT: transitioning to the interior habitat wake-up | AUDIO: low-frequency atmosphere rumbling, quiet static hiss | VOICE : none
SCENE_SaoHoa03-016 — PRESET 3 — INT — CLOSE STRUCTURAL INSERT — EMERGENCY PULSE REFLECTION — POWER SWITCHBOARD — Detailed Description (write like a compact cinematic essay): The camera tightens on a rows of heavy manual copper levers where [Aiden-charactor] grips the main industrial handle. With a strained, physical grunt, he throws the breaker downward, cutting off another forty percent of the greenhouse thermal supply to cement the rover's long-range battery capacity. A bright blue spark jumps inside the contact box. | CONTINUITY: forced diversion of forty percent greenhouse heat | NEXT: checking the visual consequences on the crop module | AUDIO: loud metallic clank, electrical arc pop, sudden drop in fan speed | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-017 — PRESET 2 — INT — CONSTRAINED CORRIDOR FRAME — MAINTENANCE STRIP SPILL — TECH CORRIDOR — Detailed Description (write like a compact cinematic essay): Walking slowly back through the cold passageway, [Aiden-charactor] watches the digital ambient temperature readouts along the bulkhead descend steadily. The structural steel gives off small, sharp metallic ticks as the extreme external Martian cold begins to overwhelm the unheated sections of the habitat shell. He pulls his wool collar tighter around his neck. | CONTINUITY: steady drop in ambient habitat internal temperature | NEXT: inspecting the greenhouse frost accumulation risk | AUDIO: metal expanding ticks, distant air pump rattle, heavy footfalls | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-018 — PRESET 2 — INT — FIXED INTERIOR FRAME — DIM POWER-SAVE LIGHTING — GREENHOUSE VIEWPORT — Detailed Description (write like a compact cinematic essay): Standing at the thick quartz viewport, [Aiden-charactor] peers into the darkening agricultural dome where thin tendrils of frost are beginning to form along the outer window frames. The experimental potato shoots are visible in the pale purple gloom, shivering slightly under the reduced airflow. His breath fogs up the inner glass surface instantly. | CONTINUITY: frost formation on the greenhouse outer windows | NEXT: transitioning to the maintenance workshop for tools | AUDIO: faint wind buffeting outside, breath condensating on glass | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-019 — PRESET 1 — INT — MEASURED PUSH-IN — PALE SLEEPING-BAY GLOW — GREENHOUSE THRESHOLD — Detailed Description (write like a compact cinematic essay): Pausing at the threshold of the cooling agricultural module, [Aiden-charactor] looks down at the digital thermometer on his forearm link. The cold is a physical presence now, creeping through his clothes and threatening the fragile lifeline he spent months culturing in the dark. His face is hard, set with grim determination. | CONTINUITY: risk of freezing the experimental potato crop | NEXT: entering the workshop to gather manual heavy tools | AUDIO: low life support drone, faint teeth chattering | VOICE : Diverting forty percent of greenhouse heating to the rover charging dock drops the soil to two degrees. It's a calculated, dangerous gamble. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-020 — PRESET 2 — INT — WIDE STATIC HORIZON FRAME — WORK-LAMP CONE — MAINTENANCE WORKSHOP — Detailed Description (write like a compact cinematic essay): Illuminated by a single halogen work lamp, [Aiden-charactor] opens a heavy reinforced steel storage locker filled with heavy industrial tools. The walls of the workshop are lined with spare gaskets and worn mechanical components, all meticulously organized by a lone worker over years of isolation. He reaches for a heavy technical equipment case. | CONTINUITY: gathering heavy equipment for the crater rim mission | NEXT: testing the analog heat-gun device functionality | AUDIO: squeaking locker hinges, heavy metal case dragging on bench | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-021 — PRESET 2 — INT — CLOSE TOOL INSERT — WORK-LAMP CONE — TOOL BENCH — Detailed Description (write like a compact cinematic essay): The camera captures a close view of an old heavy-duty analog heat-gun as [Aiden-charactor] flips its mechanical toggle switch. The internal heating coil glows a dull, vibrant orange, casting a warm light over his scarred leather work gloves. He checks the power draw meter on the tool, ensuring its internal battery pack is full. | CONTINUITY: testing an old analog heat-gun tool for field use | NEXT: retrieving and inspecting the heavy steel digging shovel | AUDIO: electric coil buzz, fan whir from heat-gun, leather creaking | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-022 — PRESET 2 — INT — RESTRAINED SIDE PROFILE — DIM POWER-SAVE LIGHTING — TOOL BENCH — Detailed Description (write like a compact cinematic essay): Sitting on a stool, [Aiden-charactor] uses a coarse rag to wipe away layer of fine gray grime from the blade of a heavy steel survival shovel. His movements are slow and deliberate, showing the stiffness of middle age in his shoulders as he applies firm pressure to the metal shaft. The tool is heavily scratched from past labor. | CONTINUITY: clearing dust from the heavy manual steel shovel | NEXT: packing the final technical survival kit for departure | AUDIO: cloth scratching steel, deep rhythmic breathing, tool clink | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-023 — PRESET 2 — INT — MEDIUM STATIC WORKING FRAME — WORK-LAMP CONE — WORKSHOP CORNER — Detailed Description (write like a compact cinematic essay): Strapping the heat-gun and manual shovel onto the exterior loops of a rugged canvas tool pack, [Aiden-charactor] cinches the heavy nylon straps tight with a sharp pull. Every piece of equipment must be mechanically secured to survive the brutal vibration of the long rover traverse across the basalt fields. He checks the latch locks twice. | CONTINUITY: packing secured manual tools into the mission kit | NEXT: moving to the suit staging area for EVA preparation | AUDIO: nylon strap snapping, buckle clicking, heavy canvas rustling | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-024 — PRESET 1 — INT — ANCHORED OVER-SHOULDER — MAINTENANCE STRIP SPILL — WORKSHOP EXIT — Detailed Description (write like a compact cinematic essay): Standing at the exit door with the heavy tool pack slung over one shoulder, [Aiden-charactor] looks back at the empty workspace. The cold is deepening, and the complete absence of any team or backup settles over him like a physical weight as he prepares to venture into the hostile desert alone. He turns toward the suit bay. | CONTINUITY: loneliness and heavy tool pack weight before suit-up | NEXT: entering the primary suit staging area | AUDIO: heavy footsteps, low-frequency structural vibration | VOICE : The primary comms array is completely dead after the last storm, leaving me cut off. This long-range run is my only play. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-025 — PRESET 2 — INT — CONSTRAINED CORRIDOR FRAME — AIRLOCK PREP ILLUMINATION — SUIT STAGING AREA — Detailed Description (write like a compact cinematic essay): Stepping into the sterile white light of the suit bay, [Aiden-charactor] pulls down the thick, multi-layered liquid cooling garment from its charging rack. His movements are methodical, driven by years of repetitive survival discipline as he slips his legs into the heavy, tube-lined synthetic fabric mesh. The room smells strongly of ozone. | CONTINUITY: beginning the multi-stage EVA suit-up procedure | NEXT: donning the heavy internal thermal insulation layers | AUDIO: fabric sliding over skin, plastic tube clicking, heavy sigh | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-026 — PRESET 2 — INT — RESTRAINED SIDE PROFILE — DIM POWER-SAVE LIGHTING — SUIT BENCH — Detailed Description (write like a compact cinematic essay): Sitting heavily on the reinforced bench, [Aiden-charactor] zips up the front of the inner thermal garment, adjusting the integrated bio-sensors across his chest. His middle-aged frame moves with careful precision to avoid straining his back before the grueling external mission begins. The ambient temperature in the suit room continues to drop. | CONTINUITY: inner suit layering and managing physical back strain | NEXT: hoisting the heavy hard-upper-torso suit shell segment | AUDIO: long zipper track zipping, velcro tearing, deep inhalation | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-027 — PRESET 2 — INT — ANCHORED OVER-SHOULDER — AIRLOCK PREP ILLUMINATION — SUIT RACK — Detailed Description (write like a compact cinematic essay): Standing up, [Aiden-charactor] positions himself beneath the heavy fiberglass and aluminum hard-upper-torso shell suspended from a mechanical hoist. He slides his arms into the bulky sleeves, his shoulders groaning under the sudden distribution of the massive structural weight of the primary planetary armor. He locks the waist ring. | CONTINUITY: donning the hard-upper-torso segment of the EVA suit | NEXT: inspecting and securing the locking neck ring seals | AUDIO: metal clanking, heavy bearing rotation, suit fabric crinkling | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-028 — PRESET 3 — INT — CLOSE STRUCTURAL INSERT — DIM POWER-SAVE LIGHTING — SUIT BENCH — Detailed Description (write like a compact cinematic essay): The camera frames a tight view of the anodized aluminum neck ring as [Aiden-charactor] runs his gloved fingers along the soft silicone seal to check for any embedded red dust particles. A single microscopic grain could compromise the integrity of the life support seal during the deep crater excavation. He wipes the ring clean with care. | CONTINUITY: checking the critical sealing rings for dust contamination | NEXT: mounting the heavy primary life support backpack unit | AUDIO: finger rubbing rubber seal, metallic click, heavy breathing | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-029 — PRESET 1 — INT — MEDIUM STATIC WORKING FRAME — WORK-LAMP CONE — SUIT ROOM FLOOR — Detailed Description (write like a compact cinematic essay): Standing fully encased in the massive lower and upper sections of the planetary suit, [Aiden-charactor] balances himself against the wall as he tests the joint mobility. The heavy white suit is scarred with dark carbon burns and fine rust stains from dozens of past surface operations, marking him as a veteran of this wasteland. | CONTINUITY: mobility testing of the heavily weathered EVA suit | NEXT: lifting and securing the massive life support backpack | AUDIO: heavy joint servo whir, rubber rubbing metal, suit hiss | VOICE : Packing an old manual heat-gun and a heavy steel shovel. Out here, high-tech tools fail first when the fine red dust settles in. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-030 — PRESET 2 — INT — RESTRAINED SIDE PROFILE — AIRLOCK PREP ILLUMINATION — SUIT BENCH — Detailed Description (write like a compact cinematic essay): Leaning backward into the mechanical rack, [Aiden-charactor] engages the heavy dual locking pins that anchor the primary life support life-pack to his suit torso. A loud, solid metallic thud echoes through his helmet shell as the high-pressure oxygen lines engage, sending a cold stream of fresh air circulating around his face. He checks the panel indicators. | CONTINUITY: engagement of primary life support backpack unit | NEXT: sealing the bubble helmet visor to complete pressure envelope | AUDIO: heavy locking latch slam, oxygen flow rush, digital chime | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-031 — PRESET 2 — INT — FIXED INTERIOR FRAME — REFLECTED MONITOR GLOW — SUIT MIRROR — Detailed Description (write like a compact cinematic essay): Reflected in the polished metal mirror panel, [Aiden-charactor] lowers the clear polycarbonate bubble helmet onto his neck ring and rotates the locking collar until it snaps shut. His tired, lined eyes are magnified behind the thick glass, staring intently at the status display projected onto the upper right corner of his primary field of view. | CONTINUITY: helmet lock and diagnostic heads-up display activation | NEXT: donning and sealing the heavy high-dexterity EVA gloves | AUDIO: helmet collar rotating click, pneumatic seal hiss, suit hum | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-032 — PRESET 2 — INT — CLOSE TOOL INSERT — DIM POWER-SAVE LIGHTING — SUIT BENCH — Detailed Description (write like a compact cinematic essay): The camera captures the thick, reinforced fingertips of the EVA gloves as [Aiden-charactor] aligns the wrist rings and twists them firmly into place. The locking mechanisms engagement with a double mechanical click, completing the isolated internal pressure environment that separates him from the lethal Martian vacuum outside. He flexes his fingers. | CONTINUITY: wrist ring lock completing the full pressure suit seal | NEXT: retrieving the prepared manual tool kit from the staging floor | AUDIO: dual metallic wrist ring clicks, heavy rubber glove flex | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-033 — PRESET 2 — INT — ANCHORED OVER-SHOULDER — MAINTENANCE STRIP SPILL — AIRLOCK ANTEROOM — Detailed Description (write like a compact cinematic essay): Moving with the heavy, ungraceful stride of a fully suited astronaut, [Aiden-charactor] picks up the packed canvas tool kit from the prep table. The added weight of the gear shifts his center of gravity, forcing him to plant his boots wide on the metal grating as he approaches the thick inner hatch of the airlock system. His breath echoes inside the helmet. | CONTINUITY: carrying the heavy manual tool kit toward the airlock | NEXT: opening the inner airlock door and stepping inside | AUDIO: heavy boot thuds, canvas bag clatter, internal suit airflow | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-034 — PRESET 1 — INT — FIXED INTERIOR FRAME — AIRLOCK PREP ILLUMINATION — AIRLOCK INNER HATCH — Detailed Description (write like a compact cinematic essay): Standing before the circular steel hatch, [Aiden-charactor] grips the manual wheel with both gloved hands. The pressure indicator shows green, but his reflection reveals the deep lines of a middle-aged worker heading into a high-stakes mechanical gamble alone. He turns the wheel with slow force. | CONTINUITY: manual hatch operation and isolation burden | NEXT: entering the airlock chamber for depressurization | AUDIO: heavy gear teeth grinding, metal seal cracking open, suit hum | VOICE : Checking the seals on this fifty-year-old EVA suit. The rubber joints are getting stiff, mirroring the ache settling deep into my lower back. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-035 — PRESET 2 — INT — CONSTRAINED CORRIDOR FRAME — EMERGENCY PULSE REFLECTION — AIRLOCK CHAMBER — Detailed Description (write like a compact cinematic essay): Stepping over the high metallic threshold, [Aiden-charactor] enters the small, cylindrical airlock chamber where the bare steel walls are scratched from years of intensive service. He hauls the heavy tool pack inside, placing it carefully between his boots as he prepares for the transition to the surface. The inner door remains open behind him. | CONTINUITY: entering the pressurized airlock chamber with tools | NEXT: sealing the inner airlock hatch to isolate the environment | AUDIO: heavy boot clank on steel floor, tool pack dragging, suit hum | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-036 — PRESET 2 — INT — RESTRAINED SIDE PROFILE — DIM POWER-SAVE LIGHTING — AIRLOCK CHAMBER — Detailed Description (write like a compact cinematic essay): Turning around within the tight confines of the cylinder, [Aiden-charactor] pulls the heavy inner hatch closed and rotates the primary locking spoke until the steel deadbolts slide deep into the frame. The seals compress with a dull, rubbery squelch, cutting him off completely from the warm interior of the main habitat habitat. He stands ready. | CONTINUITY: inner hatch locked, isolating the airlock cylinder | NEXT: connecting the secondary wall-mounted pressure umbilical link | AUDIO: steel latch slamming, rubber seal compression, suit blower whir | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-037 — PRESET 2 — INT — CLOSE TOOL INSERT — REFLECTED MONITOR GLOW — AIRLOCK CHAMBER — Detailed Description (write like a compact cinematic essay): The camera tightens on a quick-connect valve panel where [Aiden-charactor] plugs the airlock's digital diagnostic umbilical into his forearm suit receptacle. The small wall-mounted screen flashes to life, displaying the current internal pressure at one hundred kilopascals as the automated system readies the vacuum pumps. He monitors the data stream. | CONTINUITY: connecting diagnostic umbilical to track depressurization | NEXT: initiating the automated airlock vacuum purge sequence | AUDIO: pneumatic hiss, plastic connector click, computer alert tone | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-038 — PRESET 3 — INT — ANCHORED OVER-SHOULDER — EMERGENCY PULSE REFLECTION — AIRLOCK CHAMBER — Detailed Description (write like a compact cinematic essay): Pressing a large, shielded red button on the control bulkhead, [Aiden-charactor] initiates the primary airlock depressurization cycle. Instantly, a deafening roar fills the chamber as heavy vacuum pumps begin clawing the air out of the room, causing his suit fabric to expand slightly under the dropping external pressure. He braces his arm against the wall support. | CONTINUITY: beginning active airlock chamber depressurization | NEXT: tracking the pressure drop to absolute Martian vacuum | AUDIO: loud vacuum pump roar, air rushing through vents, suit creaking | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-039 — PRESET 1 — INT — FIXED INTERIOR FRAME — DIM POWER-SAVE LIGHTING — AIRLOCK CHAMBER — Detailed Description (write like a compact cinematic essay): Enclosed within the roaring, vibrating steel cylinder, [Aiden-charactor] watches the digital wall gauge descend past twenty kilopascals. The severe vibration rattles his helmet visor, but his posture remains steady, displaying the cold discipline of a veteran worker accustomed to the lethal margins of the Martian frontier. He stands alone. | CONTINUITY: tracking pressure drop under heavy chamber vibration | NEXT: disconnecting the diagnostic umbilical prior to exit | AUDIO: deep mechanical rumble, air thin hiss fading, suit pump hum | VOICE : The airlock depressurization cycle always sounds like a slow, rhythmic mechanical sigh. It reminds me exactly how thin the margin of survival is. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-040 — PRESET 2 — INT — CLOSE STRUCTURAL INSERT — REFLECTED MONITOR GLOW — AIRLOCK CHAMBER — Detailed Description (write like a compact cinematic essay): The camera focuses closely on the wall gauge as it plateaus at a flat six hundred pascals, matching the ambient atmospheric density of the external Martian wilderness. Inside the suit, [Aiden-charactor] looks down as the red vacuum warning light switches to a solid, icy blue indication of pressure equilibrium. The roaring pumps slowly spin down. | CONTINUITY: reaching pressure equilibrium with Martian atmosphere | NEXT: disconnecting the diagnostic umbilical cord from the suit | AUDIO: pump whine pitch dropping, absolute external silence settling | VOICE : none | IMAGES: Aiden-charactor
